date,City,temperature_2m_mean,wind_speed_10m_mean,relative_humidity_2m_mean,precipitation_sum
2015-01-15,Vavuniya District,24.224997,8.192109,75.09657,0.0
2015-01-16,Ampara District,25.255333,10.001784,82.32479,0.6
2015-01-16,Anuradhapura District,24.88,7.541847,80.40906,0.0
2015-01-16,Badulla District,21.779749,4.4375787,83.658554,0.1
2015-01-16,Batticaloa District,25.35392,7.742932,83.00097,1.2
2015-01-16,Colombo District,26.888334,4.723291,76.13485,1.1
2015-01-16,Galle District,26.532082,2.7513206,83.13554,0.6
2015-01-16,Gampaha District,27.043165,5.286992,73.51987,0.4
2015-01-16,Hambantota District,26.14417,11.784324,79.416115,0.0
2015-01-16,Jaffna District,25.661997,13.28352,78.55518,0.2
2015-01-16,Kalutara District,25.261581,3.5467646,82.051094,1.2
2015-01-16,Kandy District,23.078833,5.19393,82.44878,0.0
2015-01-16,Kegalle District,24.73175,2.8745673,79.30127,1.4000001
2015-01-16,Kilinochchi District,25.255,10.100999,81.16813,0.1
2015-01-16,Mannar District,25.413002,15.009289,79.546074,0.0
2015-01-16,Matale District,24.329912,7.0434966,80.146126,0.0
2015-01-16,Matara District,25.97875,2.7513206,83.51194,0.6
2015-01-16,Monaragala District,24.686333,8.733114,81.44115,0.0
2015-01-16,Mullaitivu District,25.639917,12.262553,78.62746,0.0
2015-01-16,Nuwara Eliya District,17.211082,3.2531633,82.71017,0.1
2015-01-16,Polonnaruwa District,24.84775,5.3223505,81.780525,1.3000001
2015-01-16,Puttalam District,25.653418,10.7441635,78.64248,0.0
2015-01-16,Ratnapura district,25.45867,3.5467646,85.50474,1.2
2015-01-16,Trincomalee District,25.47075,8.126428,80.37078,0.5
2015-01-16,Vavuniya District,24.727083,8.2431555,81.152725,0.1
2015-01-17,Ampara District,25.244917,10.35197,83.66894,1.5000001
2015-01-17,Anuradhapura District,25.575834,10.322569,79.53759,0.0
2015-01-17,Badulla District,21.852667,6.420685,81.991356,0.0
2015-01-17,Batticaloa District,25.603918,8.619681,82.65273,1.2
2015-01-17,Colombo District,26.9675,5.325974,74.89773,0.4
2015-01-17,Galle District,26.938334,5.5580845,81.055084,0.2
2015-01-17,Gampaha District,27.176506,5.137429,71.5722,0.0
2015-01-17,Hambantota District,26.271254,15.766883,78.97048,0.0
2015-01-17,Jaffna District,25.589087,19.216665,81.23209,2.8000002
2015-01-17,Kalutara District,25.003248,4.664027,84.68008,0.6
2015-01-17,Kandy District,22.983,6.1885967,80.57554,0.0
2015-01-17,Kegalle District,24.58175,3.7076387,77.131165,0.8
2015-01-17,Kilinochchi District,25.1925,13.406338,84.151665,1.2
2015-01-17,Mannar District,25.569252,17.70863,82.30037,0.6
2015-01-17,Matale District,24.604918,9.1870165,77.32934,0.0
2015-01-17,Matara District,26.124582,5.5580845,82.711945,0.2
2015-01-17,Monaragala District,24.744669,9.423625,82.13646,0.2
2015-01-17,Mullaitivu District,25.444084,16.625717,82.83813,3.0
2015-01-17,Nuwara Eliya District,17.159,4.2749987,78.53723,0.0
2015-01-17,Polonnaruwa District,25.347748,7.0529895,80.03678,0.2
2015-01-17,Puttalam District,26.390917,13.018207,76.63691,0.0
2015-01-17,Ratnapura district,25.30658,4.664027,85.035774,0.6
2015-01-17,Trincomalee District,25.664503,9.1246,80.82211,0.0
2015-01-17,Vavuniya District,24.845833,10.261842,84.04812,0.5
2015-01-18,Ampara District,25.19075,13.888392,83.162575,1.3000001
2015-01-18,Anuradhapura District,25.252916,12.470612,79.21685,0.0
